@relation CBSB4SE_SUM-weka.filters.unsupervised.attribute.Remove-R1-10

@attribute INT-INT numeric
@attribute INT-FLOAT numeric
@attribute FLOAT-FLOAT numeric
@attribute BOOL-BOOL numeric
@attribute REF-REF numeric
@attribute REF-NULL numeric
@attribute VARVAR numeric
@attribute VAREXP numeric
@attribute VARMETHOD numeric
@attribute VARCONST numeric
@attribute VARARRAY numeric
@attribute EXPEXP numeric
@attribute EXPMETHOD numeric
@attribute EXPCONST numeric
@attribute EXPARRAY numeric
@attribute METHODMETHOD numeric
@attribute METHODCONST numeric
@attribute METHODARRAY numeric
@attribute CONSTCONST numeric
@attribute CONSTARRAY numeric
@attribute ARRAYARRAY numeric
@attribute NLp numeric
@attribute NNLp numeric
@attribute Nodes numeric
@attribute Edges numeric
@attribute CompCicl numeric
@attribute NPths numeric
@attribute PS numeric
@attribute NCtr numeric
@attribute NEl numeric
@attribute NCtt numeric
@attribute NVar numeric
@attribute NEx numeric
@attribute NMC numeric
@attribute NIC numeric
@attribute NIntC numeric
@attribute NEC numeric
@attribute NInt numeric
@attribute NFlt numeric
@attribute NNull numeric
@attribute NArr numeric
@attribute NStr numeric
@attribute NObj numeric
@attribute NLExp numeric
@attribute UPC numeric
@attribute Args numeric
@attribute Lob numeric
@attribute CLASS {RANDOM,GA}

@data
0,0,0,2.685714,1,1.714286,1,0,0,4.357143,0,0,0.6,0,0,0,5.528571,0,0,0,0,2,0,39,54,24,24,15.871428,11.485714,31.271429,13.085714,8.571429,0,9.614286,4.2,0.928571,3.485714,9.771429,0,6.4,0,5.128571,12.171428,0,1,0,141,GA
0.527253,85170,0.087183,0.971128,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GA
0,0,0,13.553788,0,0,0,0,0,4.111111,0,0,0,0,0,0,19.281061,0,0,0,0,8,3,97,119,63,63,53.361868,27.59697,105.029294,30.558838,13.869445,4.204798,56.396212,0,19.016667,37.379545,37.451009,0,4.666667,19.925,0.666667,51.540151,0,7,6,663,GA
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,6,3,4,3.75,2.25,10.25,4,2,0.25,4,0,2,2,4,0,0,2,0,4,0,1,0,26,RANDOM
0,0,0,2.6,0,0,0,0.4,0,0.6,0,0,0,0,0,0,3,0,0,0,0,3,1,10,13,5,5,7.8,4,16.2,5.6,5,0,5.6,0,0,4.8,8.8,0,0,0,1.4,6.6,0,0,0,46,GA
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,15,15,8,8,15,6,19.5,6,3,0,10.5,3,7.5,0,12,0,0,0,0,7.5,0,4,5,61,GA
0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3.375,0,1,0,0,1,0,29,32,18,18,18.375,8.375,21.125,10.5,5,0,5.625,2,0.5,3.125,7,0,6.5,1,0,7.625,0,1,4,142,GA
0.519006,231511,0.093482,0.756197,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GA
0,0,0,6.566667,0,6.6,0,2.983333,0,22.166667,0,0.833333,0,8.5,0,0,14.066667,0,1.75,0,0,17,1,146,151,81,81,107.3,50.9,174.566666,80.6,70.216666,0.6,23.15,0,0,23.15,122.783334,0,8.6,2,0.75,32.5,1,2,40,707,GA
0,0,0,1.666667,0,0,0,0,0.4,1,0,0,0,0,0,3.4,1.666667,0,0,0,0,0,0,18,19,12,12,11.8,6.466667,12.933333,2.666667,1.4,0,8.866667,8.866667,0,0,12.133333,0,0,0,0,0.8,0,1,4,66,RANDOM
0.18067,84282,0.086651,1.010833,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GA
0,0,0,0,0,0.833333,0,0,0,0.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,6,6,4,1.5,2.333333,0.833333,0.833333,0.666667,0,0,0,0,0,0,0.833333,0,0,0.833333,0,0,0,21,RANDOM
0,0,0,14.75,0,0,4.666667,3.966667,1.9,0,0,0,0,0,0,0,19.583333,0,0,0,0,12,2,81,95,44,44,59.316667,30.116667,127.883333,26.516666,54.633334,0,46.733333,9.733333,11.25,25.75,81.300001,0,2,0,0,46.250001,0,3,8,449,GA
