@relation 10PCK-weka.filters.unsupervised.attribute.Remove-R1-8

@attribute CBO numeric
@attribute WNC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute NOM numeric
@attribute NOPM numeric
@attribute NOSM numeric
@attribute NOF numeric
@attribute NOPF numeric
@attribute NOSF numeric
@attribute NOSI numeric
@attribute LOC numeric
@attribute CLASS {GA,RANDOM}

@data
1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
1,43,1,0,26,66,12,12,12,2,0,2,17,225,GA
3,16,1,0,15,3,3,2,1,1,0,0,6,93,RANDOM
12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
1,1,2,0,0,0,1,1,0,0,0,0,0,8,GA
2,27,1,0,12,66,13,13,0,6,0,0,0,183,GA
7,63,1,0,35,22,8,7,0,1,0,0,0,435,GA
6,37,1,0,17,106,17,15,0,16,0,1,3,173,RANDOM
3,2,1,0,3,1,2,2,0,1,0,0,0,43,RANDOM
6,31,5,0,55,86,10,2,0,15,0,0,8,215,GA
1,15,1,0,11,6,4,4,4,0,0,0,0,128,GA
1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,3,0,1,1,2,2,0,0,0,0,0,40,GA
8,15,1,0,8,8,8,8,3,4,0,1,0,89,RANDOM
8,20,1,0,17,10,9,8,0,4,0,0,7,109,GA
4,8,1,1,1,10,8,8,0,4,1,0,0,98,RANDOM
7,29,1,0,29,0,4,4,0,2,0,0,0,192,GA
4,8,1,1,1,10,8,8,0,4,1,0,0,98,GA
7,24,6,0,44,128,20,19,0,75,0,2,18,385,GA
6,40,1,0,4,229,27,27,0,12,0,0,0,173,GA
5,26,1,0,23,0,22,21,0,3,0,0,2,149,RANDOM
12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
8,16,1,1,1,78,16,16,0,8,1,0,0,170,RANDOM
6,12,1,0,20,21,7,2,0,0,0,0,7,133,RANDOM
2,6,4,0,3,15,6,5,0,0,0,0,0,45,GA
12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
9,18,1,1,1,105,18,18,0,9,1,0,0,188,RANDOM
0,4,2,0,16,0,1,1,0,2,0,0,2,54,GA
3,13,1,0,2,11,10,10,0,4,0,0,0,76,GA
11,69,9,6,77,1546,55,30,1,17,5,4,19,559,GA
3,6,2,2,2,9,6,5,0,1,0,0,0,73,GA
5,10,1,2,1,21,10,10,0,5,1,0,0,116,GA
6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
4,14,1,0,16,0,8,8,0,4,0,0,5,104,GA
11,16,1,0,27,13,6,3,0,2,0,1,4,104,GA
2,15,1,0,2,8,5,4,0,1,1,0,1,52,RANDOM
7,14,1,1,1,55,14,14,0,7,1,0,0,152,RANDOM
5,10,1,1,1,21,10,10,0,5,1,0,0,116,GA
2,4,1,0,0,0,4,4,0,4,0,1,0,63,GA
2,3,3,0,1,1,2,1,0,1,0,1,0,63,GA
8,27,3,0,21,138,20,18,0,5,0,0,0,201,GA
8,7,1,0,12,2,3,3,0,3,0,1,0,72,GA
12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
4,11,1,0,9,0,10,9,0,1,0,0,1,51,GA
11,47,1,0,55,221,22,18,0,4,0,0,1,415,GA
1,2,5,0,1,1,2,2,0,0,0,0,0,40,GA
10,20,1,1,1,136,20,20,0,10,1,0,0,206,RANDOM
1,12,1,0,0,54,12,12,0,6,0,0,0,51,GA
3,6,1,1,1,3,6,6,0,3,1,0,0,80,GA
3,4,2,0,9,1,2,2,0,1,0,0,3,92,RANDOM
6,12,1,0,13,5,6,5,0,6,0,1,1,81,GA
1,8,1,0,0,22,8,6,1,4,0,1,0,37,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
2,43,1,0,6,549,38,38,0,11,1,0,0,328,GA
9,5,1,0,22,1,3,1,3,1,0,1,2,77,GA
2,0,1,0,0,0,0,0,0,6,0,0,0,63,GA
16,14,1,0,15,89,14,14,0,1,0,1,1,169,GA
5,6,2,0,23,0,1,0,0,13,0,13,2,130,RANDOM
0,5,3,0,11,0,1,0,0,0,0,0,0,60,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
19,3,2,0,5,0,2,1,1,39,38,39,0,128,GA
1,5,1,0,2,0,4,4,0,1,0,0,0,74,RANDOM
2,17,1,0,9,29,10,7,0,6,0,0,2,169,RANDOM
0,2,5,0,19,1,2,2,0,2,0,0,4,42,GA
0,15,1,0,0,91,15,15,0,8,0,0,0,266,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
5,45,1,0,31,24,9,6,0,1,0,0,0,419,GA
1,40,1,0,19,413,35,30,0,27,13,13,43,273,GA
1,12,1,0,0,50,12,12,0,5,0,1,0,73,GA
5,3,3,0,1,1,2,1,0,0,0,0,0,36,GA
2,3,1,1,0,1,3,3,0,1,0,0,0,49,GA
7,14,1,1,1,55,14,14,0,7,1,0,0,152,RANDOM
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,5,0,1,1,2,2,0,0,0,0,0,40,GA
8,117,1,2,79,1906,69,66,3,23,0,0,75,1177,GA
3,21,1,0,24,37,8,8,8,16,0,16,15,315,GA
0,2,1,0,0,0,2,1,0,1,0,0,0,34,GA
1,6,1,0,0,0,6,6,0,1,0,1,0,44,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,16,3,0,10,83,14,13,0,3,0,0,0,203,RANDOM
6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
7,14,1,1,1,55,14,14,0,7,1,0,0,152,RANDOM
7,50,5,0,62,0,5,4,0,16,0,5,13,371,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,1,1,0,1,0,1,1,1,0,0,0,0,17,GA
17,34,1,1,1,465,34,34,0,17,1,0,0,332,RANDOM
1,19,1,0,18,3,6,4,0,33,0,27,1,267,RANDOM
7,46,2,0,63,165,19,16,0,3,0,0,39,775,GA
10,36,1,0,0,474,33,33,0,19,0,0,0,578,GA
7,12,1,0,1,0,6,6,3,3,0,1,0,70,RANDOM
0,12,1,0,9,0,2,2,0,4,0,2,0,75,GA
12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
3,1,1,0,9,0,1,1,0,0,0,0,1,16,RANDOM
7,7,1,0,4,1,2,2,1,1,0,1,1,46,RANDOM
2,20,1,0,3,70,16,16,0,6,1,0,0,206,GA
0,0,1,0,0,0,0,0,0,0,0,0,0,17,GA
3,6,1,2,6,0,4,4,0,2,0,1,0,65,GA
2,2,6,0,6,1,2,2,1,0,0,0,0,39,GA
2,6,1,0,5,0,4,4,0,2,0,0,0,36,GA
11,73,1,0,0,1541,66,66,0,39,0,0,0,1271,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
5,7,1,0,2,15,7,7,0,4,0,0,0,37,GA
14,34,6,0,37,186,20,15,0,5,0,1,4,212,GA
2,3,2,0,1,0,2,2,0,2,0,0,0,32,GA
11,22,1,1,1,171,22,22,0,11,1,0,0,224,RANDOM
1,3,1,31,2,1,3,1,0,1,0,0,0,28,GA
5,14,11,0,26,18,9,7,0,5,0,1,3,97,GA
4,20,1,0,11,0,11,10,0,2,0,1,0,108,GA
32,64,1,1,1,1830,64,64,0,32,1,0,0,602,RANDOM
2,12,1,0,4,0,6,6,0,3,0,1,1,86,RANDOM
1,11,1,0,0,45,11,11,0,5,0,0,0,45,GA
5,12,3,0,8,6,4,3,0,0,0,0,0,117,RANDOM
2,62,1,0,28,7,11,4,0,12,0,0,15,424,GA
2,6,1,0,6,0,4,4,0,2,0,0,0,69,GA
