TARGET,TYPE,COVERAGE_GA,TIME_GA,COVERAGE_RANDOM,TIME_RANDOM,DIF_COVERAGE,DIF_TIME,CBO,WNC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC,CLASS
org.sourceforge.ifx.framework.complextype.BillerMsgRqInfo_Type,class,1,11592,0.916666666666667,7861,0.083333333333333,3731,2,4,1,1,1,0,4,4,0,2,1,0,0,62,GA
org.saxpath.Axis,class,0.946614583333333,87028,0.938988095238095,69449,0.007626488095238,17579,0,28,1,0,1,0,2,2,2,14,14,14,0,183,GA
br.com.jnfe.base.ContribICMS,enum,0.828125,63349,0.75,67611,0.078125,-4262,0,2,1,0,0,0,2,1,0,1,0,0,0,27,RANDOM
com.sap.engine.services.dc.wsgate.ArchiveFile,class,0.905516661451815,97940,0.873781959592348,91783,0.031734701859467,6157,8,22,1,0,16,19,11,11,3,5,0,1,3,154,GA
net.sourceforge.squirrel_sql.client.gui.session.SessionPanel,class,0.133794420357389,71470,0.212346934640788,76182,-0.078552514283399,-4712,42,88,10,0,107,908,45,34,0,16,0,4,6,588,RANDOM
org.sourceforge.ifx.framework.complextype.TerminalSPRec_Type,class,1,4697,0.979166666666667,3655,0.020833333333333,1042,4,8,1,0,1,10,8,8,0,4,1,0,0,98,GA
ioproject.example.server.ChatExampleServer,class,0.76565734989648,93958,0.633540372670807,78824,0.132116977225673,15134,7,13,1,0,15,20,8,8,1,2,0,0,1,131,GA
com.browsersoft.openhre.hl7.impl.regular.ExpressionNodeWithLevel,class,0.972222222222222,63604,0.952380952380952,4546,0.01984126984127,59058,0,6,1,0,0,0,6,6,0,2,0,0,0,46,GA
org.sourceforge.ifx.framework.complextype.MediaAcctAdjRevRq_Type,class,1,16053,0.944444444444444,72804,0.055555555555556,-56751,9,18,1,1,1,105,18,18,0,9,1,0,0,188,RANDOM
org.sourceforge.ifx.framework.element.CVMRule,class,0.9375,62366,0.916666666666667,1644,0.020833333333333,60722,1,2,5,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.CompRemitStmtMsgRec_Type,class,1,21436,0.979166666666667,22094,0.020833333333333,-658,4,8,1,1,1,10,8,8,0,4,1,0,0,98,RANDOM
net.sourceforge.schemaspy.util.DOMUtil,class,0.79933574879227,63521,0.545410628019324,71871,0.253925120772946,-8350,2,5,1,0,10,1,2,2,2,0,0,0,1,59,RANDOM
org.sourceforge.ifx.framework.element.ATMOwner,class,1,3511,0.916666666666667,1693,0.083333333333333,1818,1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.element.CustAuthRevRs,class,1,3736,0.916666666666667,2200,0.083333333333333,1536,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
greencow.Main,class,1,8574,1,4010,0,4564,0,1,1,0,1,0,1,1,1,0,0,0,0,12,GA
com.imsmart.parser.MParserFactory,class,0.72718253968254,65105,0.72718253968254,66750,0,-1645,3,2,1,0,5,0,1,1,1,1,0,0,3,24,RANDOM
org.sourceforge.ifx.framework.complextype.RecXferProf_Type,class,1,5943,0.958333333333333,3506,0.041666666666667,2437,3,6,1,1,1,3,6,6,0,3,1,0,0,80,GA
org.sourceforge.ifx.framework.complextype.IndustId_Type,class,1,11354,0.944444444444444,7093,0.055555555555556,4261,3,6,1,2,1,3,6,6,0,3,1,0,0,80,GA
src.XMLable,class,1,7883,1,4184,0,3699,0,0,1,0,0,0,0,0,0,0,0,0,0,3,GA
org.sourceforge.ifx.framework.element.BalType,class,0.9375,62489,0.916666666666667,1582,0.020833333333333,60907,1,2,5,0,1,1,2,2,0,0,0,0,0,40,GA
mygrid.web._Logon,class,0.922459610303287,71609,0.861029779333,86538,0.061429830970287,-14929,7,21,1,0,10,34,12,12,3,6,0,1,0,127,RANDOM
org.sourceforge.ifx.framework.complextype.StopChkRevRs_Type,class,1,25274,0.935897435897436,68932,0.064102564102564,-43658,13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.SchemaTableModel,class,0.955491223402248,101106,0.851322748327458,92103,0.10416847507479,9003,2,25,3,0,18,0,9,9,0,6,0,5,4,127,GA
net.sf.xisemele.exception.WithinContextNotPermittedException,class,0.9375,65100,0.9,64504,0.0375,596,1,1,5,0,0,0,1,1,0,1,0,1,0,21,GA
org.sourceforge.ifx.framework.element.CustAddRs,class,1,4009,0.916666666666667,3075,0.083333333333333,934,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.element.DevDetailApp,class,1,3327,0.916666666666667,1981,0.083333333333333,1346,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.PassbkItemStatusInqRq_Type,class,1,7340,0.935897435897436,9719,0.064102564102564,-2379,6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
org.sourceforge.ifx.framework.complextype.DebitAuthSyncRs_Type,class,1,30751,0.938271604938272,83250,0.061728395061728,-52499,13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
net.sf.sugar.fspath.FSPathResult,class,0.972972972972973,80396,0.94015444015444,72391,0.032818532818533,8005,0,19,1,0,5,42,13,13,0,6,0,0,0,119,GA
net.sf.xbus.technical.file.FileByteArrayListReceiverThread,class,0.9375,67930,0.583333333333333,4335,0.354166666666667,63595,4,2,3,0,0,1,2,1,0,0,0,0,0,29,GA
org.sourceforge.ifx.framework.complextype.StdPayeeMsgRqInfo_Type,class,1,4139,0.958333333333333,3028,0.041666666666667,1111,2,4,1,1,1,0,4,4,0,2,1,0,0,62,GA
org.jcvi.jillion.internal.assembly.util.CompactedSliceElement,class,0.950203323903819,75816,0.88705209806695,72178,0.063151225836869,3638,4,25,1,0,16,0,11,8,0,4,0,1,2,155,GA
mygrid.web.ArrayOfString,class,0.899929542440318,75464,0.892985097995874,84964,0.006944444444444,-9500,7,20,1,0,12,11,10,10,3,4,0,1,3,103,RANDOM
wheel.components.ActionExpression,class,0.866584518680653,113876,0.740061302152884,131884,0.126523216527769,-18008,4,61,2,0,31,213,26,25,0,8,0,0,0,190,RANDOM
org.jcvi.jillion.assembly.ca.frg.Distance,class,0.988742236024845,77290,0.966725820763088,96993,0.022016415261757,-19703,1,23,1,0,11,0,15,11,7,6,0,3,13,189,RANDOM
com.mytdev.resources4j.ResourcesInjector,class,0.484014594914038,87556,0.483197601449986,93623,0.000816993464052,-6067,8,98,1,0,101,11,11,7,0,2,0,0,6,374,RANDOM
osa.ora.server.client.ui.InfoPanel,class,0.496372927387078,88110,0.394196683819325,78220,0.102176243567753,9890,1,5,5,0,18,8,4,2,0,10,0,0,0,96,GA
com.browsersoft.openhre.hl7.impl.config.HL7SegmentsConfigReaderImpl,class,0,88437,0.30049064012674,79560,-0.30049064012674,8877,13,46,1,0,32,30,9,1,0,26,26,26,12,226,GA
org.sourceforge.ifx.framework.complextype.XferRevRs_Type,class,1,14482,0.935897435897436,69038,0.064102564102564,-54556,13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
org.sourceforge.ifx.framework.complextype.PaySvcRq_Type,class,0.980128205128205,106207,0.895726495726496,105808,0.084401709401709,399,67,134,1,1,1,8515,134,134,0,67,1,0,0,1232,GA
org.jcvi.jillion.fasta.nt.NucleotideFastaRecordWriterBuilder,class,0.9375,71975,0.888888888888889,4445,0.048611111111111,67530,7,4,5,0,0,6,4,2,0,0,0,0,0,76,GA
visu.handball.moves.actions.EditModusAction,class,1,91719,0.946428571428571,31528,0.053571428571429,60191,2,5,2,0,7,0,3,3,0,1,0,0,3,51,GA
org.sourceforge.ifx.framework.complextype.PmtAckAdviseRq_Type,class,1,6419,1,15113,0,-8694,5,10,1,1,1,21,10,10,0,5,1,0,0,116,RANDOM
org.sourceforge.ifx.framework.complextype.DepAcctStmtRec_Type,class,1,31770,0.919191919191919,78358,0.080808080808081,-46588,13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
fr.unice.gfarce.dao.OracleIdentiteDao,class,0.736932739156609,142732,0.680554709412064,193101,0.056378029744545,-50369,10,32,1,0,31,9,7,7,1,2,0,0,0,239,RANDOM
org.sourceforge.ifx.framework.complextype.PswdDelivery_Type,class,1,4000,0.972222222222222,3340,0.027777777777778,660,3,6,1,1,1,3,6,6,0,3,1,0,0,80,GA
org.jcvi.jillion.internal.fasta.aa.LargeAminoAcidSequenceFastaFileDataStore,class,0.809027777777778,75181,0.646031746031746,78398,0.162996031746032,-3217,9,4,2,0,4,6,4,2,2,0,0,0,4,72,RANDOM
org.sourceforge.ifx.framework.element.DepAcctTrnInqRs,class,1,5051,0.916666666666667,2783,0.083333333333333,2268,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
