TARGET,TYPE,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,CBO,WNC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC
org.sourceforge.ifx.framework.complextype.XferRevRs_Type,class,1,14482,0.935897435897436,69038,0.064102564102564,0.209768533271532,13,26,1,1,1,253,26,26,0,13,1,0,0,260
org.sourceforge.ifx.framework.complextype.PaySvcRq_Type,class,0.980128205128205,106207,0.895726495726496,105808,0.084401709401709,1.00377098140027,67,134,1,1,1,8515,134,134,0,67,1,0,0,1232
org.jcvi.jillion.fasta.nt.NucleotideFastaRecordWriterBuilder,class,0.9375,71975,0.888888888888889,4445,0.048611111111111,16.1923509561305,7,4,5,0,0,6,4,2,0,0,0,0,0,76
visu.handball.moves.actions.EditModusAction,class,1,91719,0.946428571428571,31528,0.053571428571429,2.90912839380868,2,5,2,0,7,0,3,3,0,1,0,0,3,51
org.sourceforge.ifx.framework.complextype.PmtAckAdviseRq_Type,class,1,6419,1,15113,0,0.424733672996758,5,10,1,1,1,21,10,10,0,5,1,0,0,116
org.sourceforge.ifx.framework.complextype.DepAcctStmtRec_Type,class,1,31770,0.919191919191919,78358,0.080808080808081,0.405446795477169,13,26,1,1,1,253,26,26,0,13,1,0,0,260
fr.unice.gfarce.dao.OracleIdentiteDao,class,0.736932739156609,142732,0.680554709412064,193101,0.056378029744545,0.739157228600577,10,32,1,0,31,9,7,7,1,2,0,0,0,239
org.sourceforge.ifx.framework.complextype.PswdDelivery_Type,class,1,4000,0.972222222222222,3340,0.027777777777778,1.19760479041916,3,6,1,1,1,3,6,6,0,3,1,0,0,80
org.jcvi.jillion.internal.fasta.aa.LargeAminoAcidSequenceFastaFileDataStore,class,0.809027777777778,75181,0.646031746031746,78398,0.162996031746032,0.958965789943621,9,4,2,0,4,6,4,2,2,0,0,0,4,72
org.sourceforge.ifx.framework.element.DepAcctTrnInqRs,class,1,5051,0.916666666666667,2783,0.083333333333333,1.81494789795185,1,2,2,0,1,1,2,2,0,0,0,0,0,40
fr.pingtimeout.jtail.gui.controller.FileIndexerWorker,class,0.208333333333333,82929,0.166666666666667,84746,0.041666666666666,0.978559460033512,1,12,2,0,19,0,4,2,0,3,0,1,12,108
org.sourceforge.ifx.framework.element.CustPayeeRec,class,1,3712,1,2506,0,1.48124501197127,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.complextype.CreditAddRq_Type,class,1,24672,0.972222222222222,20699,0.027777777777778,1.19194163969274,6,12,1,1,1,36,12,12,0,6,1,0,0,134
lotus.core.decision.DeclareBlockerDecision,class,0.71875,62321,0.625,69180,0.09375,0.900852847643828,4,1,1,0,1,0,1,1,0,2,2,0,0,13
org.sourceforge.ifx.framework.element.ClientApp,class,1,11596,0.916666666666667,1678,0.083333333333333,6.91060786650775,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.complextype.XferInfo_Type,class,1,21107,0.932291666666667,69987,0.067708333333333,0.301584579993427,15,30,1,1,1,351,30,30,0,15,1,0,0,296
com.lts.beans.IntrospectorUtils,class,0.31203007518797,62506,0.261367704976727,63230,0.050662370211243,0.98854973904792,0,5,1,0,10,1,2,2,2,0,0,0,1,73
org.sourceforge.ifx.framework.complextype.PmtAuthInqRq_Type,class,1,12780,0.965277777777778,29707,0.034722222222222,0.430201635978052,10,20,1,1,1,136,20,20,0,10,1,0,0,206
org.sourceforge.ifx.framework.complextype.PmtEnclStatusModRs_Type,class,1,10603,0.946969696969697,31265,0.053030303030303,0.339133216056293,11,22,1,1,1,171,22,22,0,11,1,0,0,224
lotus.core.Arbiter,class,0.881009615384615,66357,0.881009615384615,66846,0,0.9926846782156,4,5,1,0,3,1,2,2,2,0,0,0,1,38
org.sourceforge.ifx.framework.element.CustModRq,class,1,3423,0.916666666666667,2478,0.083333333333333,1.38135593220339,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.jcvi.jillion.fasta.nt.UnCommentedNucleotideSequenceFastaRecord,class,0.959306318681319,78038,0.928282851602179,74490,0.03102346707914,1.04763055443684,2,11,1,1,8,13,7,7,0,2,0,0,2,94
com.sap.managementconsole.soap.axis.sapcontrol.RESTRICTIONTYPE,class,0.954545454545455,82627,0.899038461538462,74291,0.055506993006993,1.11220740062726,7,13,1,0,6,39,11,10,5,17,14,16,2,84
Client,class,0.128938341406877,110658,0.206301346251003,72258,-0.077363004844126,1.53142904591879,20,224,15,0,136,1429,62,53,1,47,0,0,21,1424
oasis.names.tc.ciq.xsdschema.xal._2.BuildingNameType,class,0.972222222222222,69628,0.968253968253968,8801,0.003968253968254,7.91137370753324,0,9,1,0,0,28,9,9,0,5,0,0,0,170
org.exolab.jms.tools.migration.proxy.DestinationStore,class,0.193897058823529,88141,0.240010893246187,99209,-0.046113834422658,0.888437540948906,9,19,1,0,29,33,11,9,0,6,2,0,3,244
org.exolab.jms.tools.migration.proxy.Subscription,class,0.965909090909091,71016,0.922077922077922,10246,0.043831168831169,6.93109506148741,2,4,1,0,1,2,4,4,0,2,0,0,0,97
org.sourceforge.ifx.framework.element.BankSvcRq,class,0.9375,66342,0.916666666666667,5503,0.020833333333333,12.0556060330729,1,2,2,0,1,1,2,2,0,0,0,0,0,40
net.sourceforge.squirrel_sql.client.gui.db.AliasInternalFrame,class,0.170186574663362,101610,0.387843058439963,96589,-0.217656483776601,1.05198314507863,27,51,7,0,113,166,23,8,0,21,0,3,10,589
org.sourceforge.ifx.framework.complextype.DevAppComponent_Type,class,1,8412,0.958333333333333,8549,0.041666666666667,0.983974733887004,4,8,1,1,1,10,8,8,0,4,1,0,0,98
de.paragon.explorer.model.ExplorerModelBuilder,class,0.59172619047619,90119,0.60172619047619,90189,-0.01,0.999223852132743,13,21,1,0,41,151,18,7,3,1,0,1,6,182
org.sourceforge.ifx.framework.complextype.ChkAcceptCanRq_Type,class,1,20391,0.972222222222222,26080,0.027777777777778,0.781863496932515,6,12,1,1,1,36,12,12,0,6,1,0,0,134
com.lts.application.repository.DirectoryRepository,class,0.9231432036993,78062,0.810660289100589,90999,0.112482914598711,0.857833602567061,6,56,2,0,22,178,21,18,0,3,1,1,3,343
