TARGET_CLASS,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,Project,Package,Class,INT-INT,INT-FLOAT,FLOAT-FLOAT,BOOL-BOOL,REF-REF,REF-NULL,VARVAR,VAREXP,VARMETHOD,VARCONST,VARARRAY,EXPEXP,EXPMETHOD,EXPCONST,EXPARRAY,METHODMETHOD,METHODCONST,METHODARRAY,CONSTCONST,CONSTARRAY,ARRAYARRAY,NLp,NNLp,Nodes,Edges,CompCicl,NPths,PS,NCtr,NEl,NCtt,NVar,NEx,NMC,NIC,NIntC,NEC,NInt,NFlt,NNull,NArr,NStr,NObj,NLExp,UPC,Args,Lob,CLASS
com.lts.caloriecount.data.CalorieCountData,0.624598961465844,77327,0.477441434460048,95241,0.147157527005796,-17914,/home/gramos/USP/MSI/78_caloriecount,com.lts.caloriecount.data,CalorieCountData,0,0,0,11.275,0,1,0,0.5,0,2,0,0,0,0,0,0,30.469643,0,0,1.25,0,7,1,109,141,73,73,73.497024,34.8625,136.608929,49.051786,22.419643,0.642857,64.494643,18.5125,18.157143,25.35,34.95,0,18.194643,11.857143,0,65.739286,0,7,11,633,GA
org.exolab.jms.net.tunnel.TunnelServlet,0.656857454140063,84176,0.526351426351426,79715,0.130506027788637,4461,/home/gramos/USP/MSI/66_openjms,org.exolab.jms.net.tunnel,TunnelServlet,0,0,0,2.142857,0,0,0,0,0,0,0,0,0,0,0,0,7.867244,0,0.666667,0,0,2,1,52,71,37,37,33.523809,13.998557,43.47186,16.210677,10.32179,5.464647,11.474747,1,2.454546,8.020202,8.64935,0,4.714286,9.454546,0,18.643579,0,2,13,326,GA
de.huxhorn.lilith.swing.transfer.MainFrameTransferHandler,0.200151515151515,75467,0.10030303030303,81015,0.099848484848485,-5548,/home/gramos/USP/MSI/43_lilith,de.huxhorn.lilith.swing.transfer,MainFrameTransferHandler,0,0,0,4.525,1,0,1,0.2,0,1.4,0,0,0,0,0,0,4.525,0,0,0,0,2,0,26,46,31,31,13.508333,7.875,29.575,7.516667,12.075,0.75,9.233334,0,0,8.65,11.25,0,0.8,0.208333,0,13.983334,0,0,3,102,GA
net.sourceforge.squirrel_sql.client.gui.util.ThreadCheckingRepaintManager,0.954545454545455,9680406,0.939393939393939,81069,0.015151515151516,9599337,/home/gramos/USP/MSI/102_squirrel-sql,net.sourceforge.squirrel_sql.client.gui.util,ThreadCheckingRepaintManager,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,11,13,8,9,9.8,4.8,10.6,2.8,2.4,2,3.4,0,0,3.4,4,0,0.8,0,0,3.8,0,0,6,48,GA
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceOptionsFlags,0.954545454545455,91338,0.912587412587412,34291,0.041958041958043,57047,/home/gramos/USP/MSI/101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceOptionsFlags,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,6,4,4,5,2,6,1,4,0,1,0,0,1,0,0,1,1,0,5,0,0,1,20,GA
mygrid.web._SetEngineInfoResponse,0.799985697940503,65922,0.771412226217718,78328,0.028573471722785,-12406,/home/gramos/USP/MSI/59_mygrid,mygrid.web,_SetEngineInfoResponse,0,0,0,2,1,1.333333,1,0,0,2.333333,0,0,0,0,0,0,1,0,0,0,0,0,0,15,14,8,8,6.666666,4.333333,10.666667,4.333333,5.333334,0,1,0,0,0,4,0,1.333333,0,0,4.333334,0,0,0,53,GA
org.objectweb.asm.jip.commons.Method,0.618667536011286,71001,0.561529867092367,69686,0.057137668918919,1315,/home/gramos/USP/MSI/51_jiprof,org.objectweb.asm.jip.commons,Method,0,0,0,3.583333,0,0,0,0,0,0.333333,0,0,0,1.833333,0,0,7.583333,0,0,0,0,2,0,31,38,16,16,17.166666,9.75,74.25,32.416667,20.75,0,21.083333,0,0,20.083333,45.333333,0,0.833333,20.5,0,23.916667,0,2,2,211,GA
wheel.asm.MethodWriter,0.521606206789429,159034,0.451822862775218,178099,0.069783344014211,-19065,/home/gramos/USP/MSI/80_wheelwebtool,wheel.asm,MethodWriter,0,0,0,10.218821,0.147059,46.454754,1.692513,9.892349,0.029412,117.859054,2.166667,0.029412,0,17.217016,0.05,0.088235,12.216975,0,9.055999,4.665751,0.8,45,14,760,1081,396,396,281.518756,175.763383,496.00026,244.512479,234.586855,0,16.900916,0,6.071429,9.16282,288.017991,0,62.128047,21.058005,2.609524,114.145466,0,12,64,4879,GA
org.dom4j.tree.AbstractNode,0.722867552059584,124513,0.756831042494517,109175,-0.033963490434933,15338,/home/gramos/USP/MSI/62_dom4j,org.dom4j.tree,AbstractNode,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.666667,0,0,0,0,0,0,17,16,10,10,11,5,9.666667,4.666667,0,0.333333,4.666667,4.666667,0,0,4,0,2.666667,0,0,2.666667,0,0,1,70,RANDOM
bcry.battlecry,0.829456332462662,81659,0.935705196283858,74325,-0.106248863821196,7334,/home/gramos/USP/MSI/72_battlecry,bcry,battlecry,0,0,0,2.888889,0,0,0,0.777778,0,2.111111,0,0,0,0,0,0,2.888889,0,1.5,0,0,1,0,38,54,18,18,11.722222,7.277778,27.166668,15.611111,8.666667,0,2.888889,0,0,2.888889,18.5,0,0,8.666667,0,5.777778,0,1,0,269,RANDOM
org.objectweb.asm.jip.Type,0.658373705398815,151873,0.659571557961296,150461,-0.001197852562481,1412,/home/gramos/USP/MSI/51_jiprof,org.objectweb.asm.jip,Type,0,0,0,2.273504,4.384615,0,5.717949,2.194444,0.076923,10.024603,0,0.361111,0.153846,0.083333,0,0,8.67094,0,0,9.842857,0.222222,17,5,159,194,88,88,68.920636,37.348229,140.187303,66.366789,57.577229,0,16.243284,0.25,0,15.104395,94.745541,0,2,10.989011,7.214286,39.908425,0,1,8,633,RANDOM
dash.examples.producerConsumer.Main,0.540151515151515,66481,0.490151515151515,66978,0.05,-497,/home/gramos/USP/MSI/76_dash-framework,dash.examples.producerConsumer,Main,0,0,0,0.666667,0,0,0,0,0,1,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,4,4,3,3,2.666667,1.666667,4.666666,2.333333,1.666667,0,0.666667,0,0,0.666667,1.333333,0,1,2.333333,0,1.666667,0,0,0,17,GA
